path,github_user,github_repo,latest_release,latest_commit,comitted_date
/nis/opt/pykek,user:Kronos3,repo:smm_deps,latest_release:n/a,latest_commit:2401a919dcc442f2b2b427a5d623c6036670ec77,committed_date:2017-03-13T02:33:39Z
/nis/opt/pykek,user:mattsahn,repo:alexa-blk2,latest_release:n/a,latest_commit:d3476d97db7cd0c85a0f157a9556a64371a0a8e8,committed_date:2016-12-04T17:28:57Z
/nis/opt/pykek,user:niibruce,repo:aws_lambda_gbq_pandas_stack,latest_release:n/a,latest_commit:8acdeaab81b3a368a17566ecfbd4d829a0ab8bd4,committed_date:2016-11-07T09:02:31Z
/nis/opt/pykek,user:pexip,repo:os-pyasn1,latest_release:n/a,latest_commit:fd39589c91553040a7d4a13b3e8489c20af3dcf0,committed_date:2014-03-25T12:22:32Z
/nis/opt/pykek,user:reinis-martinsons,repo:gyb-frp,latest_release:n/a,latest_commit:e6fb578d7121fa8ccf922ed296489ccd6998c233,committed_date:2016-10-11T13:52:57Z
/nis/opt/pykek,user:TonyChengTW,repo:devstack_mitaka,latest_release:n/a,latest_commit:1bdd3f2598f91c1446b85c5b6def7784a2f6ab02,committed_date:2017-04-12T01:32:55Z
/nis/opt/pykek,user:Torrentprincess,repo:Make-an-appointment-skill,latest_release:n/a,latest_commit:0b9e1d90b8fbd8082639092795d16f3a4a97ba3a,committed_date:2016-02-23T08:42:49Z
/nis/opt/rawr,user:vicyankoff,repo:ssl_dasbot,latest_release:n/a,latest_commit:53a414a83ca45d858359ab104c7849759ea15bea,committed_date:2016-08-09T03:22:42Z
/nis/opt/rawr,user:willypwu,repo:linebot-1A2B,latest_release:n/a,latest_commit:f1260a09cf83f754571492799ef05dd361c45c95,committed_date:2017-01-11T05:52:13Z
/nis/opt/recon-ng,user:anoduck,repo:recon-ng,latest_release:n/a,latest_commit:d1cb68f286b3ad9c84504170134b443506973bf2,committed_date:2015-03-25T20:16:28Z
/nis/opt/recon-ng,user:Bkwanten,repo:recon-ng,latest_release:n/a,latest_commit:ba3c0a0a664620fa3ea7d9bb34058522ae8954c9,committed_date:2016-01-15T17:33:42Z
/nis/opt/recon-ng,user:captainhooligan,repo:recon-ng,latest_release:n/a,latest_commit:30e1c3fb75b8c1e5cd44099f2dc4e2914abd822e,committed_date:2017-04-15T19:21:26Z
/nis/opt/recon-ng,user:grmpyninja,repo:recon-ng,latest_release:n/a,latest_commit:7723096ce2301092906838ef73564e7907886748,committed_date:2016-10-22T02:32:50Z
/nis/opt/recon-ng,user:Hehe-Zhc,repo:recon-ng,latest_release:n/a,latest_commit:ba3c0a0a664620fa3ea7d9bb34058522ae8954c9,committed_date:2016-01-15T17:33:42Z
/nis/opt/recon-ng,user:NQIS,repo:recon-ng-fork,latest_release:n/a,latest_commit:ba3c0a0a664620fa3ea7d9bb34058522ae8954c9,committed_date:2016-01-15T17:33:42Z
/nis/opt/recon-ng,user:tsujamin,repo:recon-ng,latest_release:n/a,latest_commit:5b661a3b8abd0459bd39b17dd6c8980e1c8fc9d7,committed_date:2016-12-02T09:12:29Z
/nis/opt/Responder,user:Exploit-install,repo:Responder,latest_release:n/a,latest_commit:0d441d1899053fde6792288fc83be0c883df19f0,committed_date:2017-01-03T20:40:38Z
/nis/opt/Responder,user:nikamajinkya,repo:Responder,latest_release:n/a,latest_commit:0713c0350fd542c6998f57c9d3e7b8819977ab88,committed_date:2016-10-06T20:35:55Z
/nis/opt/Responder,user:nikamajinkya,repo:Rexponder,latest_release:n/a,latest_commit:393e5dba54788a3c891815fc448a9c540c328ad1,committed_date:2016-08-02T11:35:24Z
/nis/opt/Responder,user:SpiderLabs,repo:Responder,latest_release:n/a,latest_commit:0bdc183093f359054d7a8dd4a6d478e101a5b66f,committed_date:2016-08-25T14:51:33Z
/nis/opt/Responder,user:wi-fi-analyzer,repo:Responder,latest_release:n/a,latest_commit:0bdc183093f359054d7a8dd4a6d478e101a5b66f,committed_date:2016-08-25T14:51:33Z
/nis/opt/SecLists,user:danielmiessler,repo:SecLists,latest_release:,released_date:2016-07-09T21:08:51Z,latest_commit:6e15b1e160a983e75451acd4b15605298589653b,committed_date:2017-05-21T01:09:32Z
/nis/opt/SecLists,user:gwen001,repo:SecLists,latest_release:n/a,latest_commit:0c2b920444f131658aa0372a29a24c6f3fd4d208,committed_date:2017-05-24T15:26:50Z
/nis/opt/SecLists,user:jas502n,repo:fuzz-wooyun-org,latest_release:n/a,latest_commit:8561b12e22892bd0c8457d9a2527036e3326bc49,committed_date:2017-02-27T17:01:43Z
/nis/opt/SecLists,user:xinali,repo:wooyun,latest_release:n/a,latest_commit:cfb289a839b1a8782f166d2fa4b081c74cdb3abc,committed_date:2017-03-08T06:08:56Z
/nis/opt/set,user:amberdeshaney,repo:Main,latest_release:n/a,latest_commit:db793680cb90331082cf1a7be0cf5accc61ac3b2,committed_date:2017-04-30T19:09:05Z
/nis/opt/set,user:anonghost008,repo:set,latest_release:n/a,latest_commit:1a3b82d8448a7cd23ce3debf88485649a4f4d61a,committed_date:2015-12-25T11:00:11Z
/nis/opt/set,user:cesarc95,repo:trustedsec-social-engineer-toolkit,latest_release:n/a,latest_commit:377c9eecb179373462d870b06250d0f554c23c38,committed_date:2016-09-28T15:17:21Z
/nis/opt/set,user:chillo83,repo:social-engineer-toolkit-master,latest_release:n/a,latest_commit:243ba34e5276b8a1978941455b3cb7405e528151,committed_date:2015-07-04T04:10:51Z
/nis/opt/set,user:dantemorius,repo:social-engineer-toolkit,latest_release:n/a,latest_commit:c705f5764dc3c71d855abf11dcbc9e10d192675e,committed_date:2015-12-15T23:00:10Z
/nis/opt/set,user:Darkboy0007,repo:Settools,latest_release:n/a,latest_commit:ef30962e4701b29dc26fb44cc318f3798be2d943,committed_date:2016-01-25T01:00:09Z
/nis/opt/set,user:Diiego1500,repo:trustedsec-social-engineer-toolkit,latest_release:n/a,latest_commit:377c9eecb179373462d870b06250d0f554c23c38,committed_date:2016-09-28T15:17:21Z
/nis/opt/set,user:ghost526,repo:kamal,latest_release:n/a,latest_commit:6cc241ec93b512c9445b21929641ba291f1e86d6,committed_date:2015-11-26T17:00:10Z
/nis/opt/set,user:giannhsv,repo:set,latest_release:n/a,latest_commit:9b1ad069a0a48766279c6eae40cee8d0c6806f30,committed_date:2015-11-21T12:39:11Z
/nis/opt/set,user:johnsonbrandon17,repo:SOETEST,latest_release:n/a,latest_commit:576cd8bd180276b0d269cc77f885c1e38bf0ed7a,committed_date:2016-10-14T03:14:18Z
/nis/opt/set,user:kevn81,repo:SET,latest_release:n/a,latest_commit:28ec6c5a0b15e5c54b3c8862aec755e540dc5691,committed_date:2015-03-07T21:00:11Z
/nis/opt/set,user:Lordxr,repo:social-engineer-toolkit,latest_release:n/a,latest_commit:9868a7cae04c1253143e50f7b1243f6084954866,committed_date:2014-07-14T14:00:21Z
/nis/opt/set,user:n10Hacx,repo:social-engineer-toolkit-https-github.com-trustedsec-social-engineer-toolkit,latest_release:n/a,latest_commit:94453eccdab04476dcff72cbb3bbdea6ce96aadb,committed_date:2016-01-01T01:00:10Z
/nis/opt/set,user:nagato88,repo:Nagato,latest_release:n/a,latest_commit:77f1a44a4fbc9ec87a5cc681f0d051e1301c21a0,committed_date:2017-01-13T17:33:09Z
/nis/opt/set,user:nicklasbrix2001,repo:first,latest_release:n/a,latest_commit:377c9eecb179373462d870b06250d0f554c23c38,committed_date:2016-09-28T15:17:21Z
/nis/opt/set,user:nikamajinkya,repo:SocialEngToolkit,latest_release:n/a,latest_commit:d12c6d0a8e11ffa06c78ba99d29742b97a613d75,committed_date:2016-07-31T17:25:00Z
/nis/opt/set,user:odwaidar,repo:social-engineer-toolkit1,latest_release:n/a,latest_commit:4dfda1fc7911ba5e7eeb6a1b4a38acd35159af54,committed_date:2015-03-29T20:00:10Z
/nis/opt/set,user:profanado9907,repo:social-engine,latest_release:n/a,latest_commit:98d8df0ee89d1099013ded12d70f6aa4c9097911,committed_date:2016-08-30T20:52:02Z
/nis/opt/set,user:prophethacker545,repo:special-engineering-tool-kit,latest_release:n/a,latest_commit:b16a624a1b0fc67a03d100e4de2a3d581261b7a0,committed_date:2016-08-02T23:26:38Z
/nis/opt/set,user:saro-krish,repo:tool,latest_release:n/a,latest_commit:0dc98ac91910d89284c52173bb004c20f15a812e,committed_date:2017-03-10T01:24:42Z
/nis/opt/set,user:trosendo,repo:social-engineer-toolkit,latest_release:n/a,latest_commit:f9569b49a3d6cad6cff5ae1d7518951f14a42040,committed_date:2014-08-03T17:33:36Z
/nis/opt/set,user:trueronin,repo:yay,latest_release:n/a,latest_commit:0dc98ac91910d89284c52173bb004c20f15a812e,committed_date:2017-03-10T01:24:42Z
/nis/opt/set,user:trustedsec,repo:social-engineer-toolkit,latest_release:n/a,latest_commit:36dd6d9fc3dfe26850972197beef6e61b8b27947,committed_date:2017-05-28T05:19:24Z
/nis/opt/set,user:TTN2016,repo:setoolkit,latest_release:n/a,latest_commit:c98fd206d937b39a2967432fd7f0f5636d162590,committed_date:2017-02-06T16:26:27Z
/nis/opt/set,user:umercvision,repo:Social-Engineering-Toolkit,latest_release:n/a,latest_commit:a5f5a589334190a1e00552ebfbeda61f7bad07dc,committed_date:2016-12-27T20:42:55Z
/nis/opt/set,user:valentinko1987,repo:test,latest_release:n/a,latest_commit:a878c171a92668288664e45820cfe67c96a76dea,committed_date:2016-06-15T08:00:13Z
/nis/opt/smbexec,user:brav0hax,repo:smbexec,latest_release:Machiavellian,released_date:2015-06-19T23:09:19Z,latest_commit:a54fc1442f43f436d4966088a981cf8a188ea476,committed_date:2015-06-22T04:17:59Z
/nis/opt/smbexec,user:jhart1992,repo:smbexec,latest_release:n/a,latest_commit:a54fc1442f43f436d4966088a981cf8a188ea476,committed_date:2015-06-22T04:17:59Z
/nis/opt/smbexec,user:Mavni,repo:Pentesting,latest_release:n/a,latest_commit:782761611a91d3d7141f9753f70d8084642038c4,committed_date:2014-11-19T22:10:54Z
/nis/opt/smbexec,user:pentestgeek,repo:smbexec,latest_release:n/a,latest_commit:782761611a91d3d7141f9753f70d8084642038c4,committed_date:2014-11-19T22:10:54Z
/nis/opt/smbexec,user:stephiprec,repo:iprec,latest_release:n/a,latest_commit:a54fc1442f43f436d4966088a981cf8a188ea476,committed_date:2015-06-22T04:17:59Z
/nis/opt/sqlmap,user:ChengWiLL,repo:autoinjection,latest_release:n/a,latest_commit:3004c1d03387f3020ffe2c6d91b5dd06d8c3634f,committed_date:2017-05-24T12:29:31Z
/nis/opt/sqlmap,user:copperfieldd,repo:-,latest_release:n/a,latest_commit:2ed144ec85ce7f7dd5a60baaa41efc8473861535,committed_date:2017-02-16T14:52:07Z
/nis/opt/sqlmap,user:Emersonxuelinux,repo:sqlmap,latest_release:n/a,latest_commit:ae465bbaf818fa82c317556695226becf3c6fa49,committed_date:2016-10-10T23:09:30Z
/nis/opt/sqlmap,user:HackingLab,repo:Termite-sqlmap,latest_release:n/a,latest_commit:18fbad7553c28fee636b33742b9655cf153fe0e3,committed_date:2016-03-15T07:09:25Z
/nis/opt/sqlmap,user:hamed720,repo:hacking,latest_release:n/a,latest_commit:46736cac7bfc02459ea44cda27d274bd0a912622,committed_date:2016-06-10T16:41:41Z
/nis/opt/sqlmap,user:happytime111,repo:sqlmap1,latest_release:n/a,latest_commit:e7aaea2b8eac8680a737416b5df059a4ac9a4630,committed_date:2016-05-17T12:10:49Z
/nis/opt/sqlmap,user:huynhthai264,repo:sql2,latest_release:n/a,latest_commit:2e62fda57db9e0fd22205562d9cc5a7d2df2bc06,committed_date:2016-09-02T13:55:33Z
/nis/opt/sqlmap,user:JustF0rWork,repo:sqlmap,latest_release:n/a,latest_commit:a1686b2cb655a28ba168417f60d99067f11ae8c1,committed_date:2016-01-25T02:46:08Z
/nis/opt/sqlmap,user:kimjoseph95,repo:sqlmap-injection,latest_release:n/a,latest_commit:e519484230149f2ddbe5c54245b199e6041ad298,committed_date:2016-09-19T13:51:28Z
/nis/opt/sqlmap,user:moonsea,repo:injection,latest_release:n/a,latest_commit:a9d527f0f0453d7c22f8d55001f2c26cae1b0255,committed_date:2015-06-05T08:42:09Z
/nis/opt/sqlmap,user:moonsea,repo:testcases_mutation,latest_release:n/a,latest_commit:7befa5b8726cbb7476ce8ebffdf8ca1df1fca0b0,committed_date:2015-12-29T07:03:48Z
/nis/opt/sqlmap,user:nookery,repo:manual_python_sqlmap,latest_release:n/a,latest_commit:3f985fb95f6da22f737f32338ca885625d5d8477,committed_date:2015-01-14T02:56:41Z
/nis/opt/sqlmap,user:origingod,repo:sqlmap-eventlet,latest_release:n/a,latest_commit:ff00f562410303d3b5846a48d6872d2d0b7e8072,committed_date:2014-01-11T07:54:50Z
/nis/opt/sqlmap,user:sqlmapproject,repo:sqlmap,latest_release:1.1,released_date:2017-04-07T13:44:27Z,latest_commit:dfe42612be5b284c7988d831ab41ba4e2b90a358,committed_date:2017-05-29T08:57:27Z
/nis/opt/sqlmap,user:whxloveyrh,repo:sqlmap,latest_release:n/a,latest_commit:3c48993371a137935b294673b3c830243c2ff297,committed_date:2016-08-19T13:43:52Z
/nis/opt/sqlmap,user:y1ngz1,repo:sqlmapproject,latest_release:n/a,latest_commit:b3b5bd267d5068c814047c086723a70b286bda07,committed_date:2016-09-15T15:59:01Z
/nis/opt/the-backdoor-factory,user:backdoorfactory,repo:backdoor-factory,latest_release:n/a,latest_commit:ed75dc371c8d3485c4f93868e751529f54e1c35d,committed_date:2016-08-17T17:28:04Z
/nis/opt/the-backdoor-factory,user:secretsquirrel,repo:the-backdoor-factory,latest_release:n/a,latest_commit:d144cc29e6ee849b072cef3594354814ce13be82,committed_date:2017-05-16T03:08:20Z
/nis/opt/tor,user:jballard1991,repo:software,latest_release:n/a,latest_commit:92f0cecbc1dacbdbf723162c5568f9f7807f29e9,committed_date:2015-06-25T15:26:30Z
