path,github_user,github_repo,latest_release,latest_commit,comitted_date
/boot/grub,user:coreos,repo:grub,latest_release:n/a,latest_commit:6782f6d431d22b4e9ab14e94d263795c7991e160,committed_date:2017-04-28T01:50:28Z
/etc/console-setup,user:Polycademy,repo:Console-Setup,latest_release:n/a,latest_commit:efa933d43bdcd9e59272a0dc9b5d58938c8a469f,committed_date:2015-09-28T16:06:21Z
/etc/python3.4,
/etc/rcS.d,user:hackedteam,repo:rcs-db,latest_release:n/a,latest_commit:6cff59d28634d718cac9fdd17cb629fd59a3cf3f,committed_date:2014-05-12T08:01:21Z
/etc/setoolkit,user:Jubei-Mitsuyoshi,repo:aaa-setoolkit,latest_release:n/a,latest_commit:5935b52192d3a3d2235b7a7eb530741ce59374dd,committed_date:2013-12-04T03:03:37Z
/etc/veil,user:Veil-Framework,repo:Veil,latest_release:Updated AutoIt Payload,released_date:2017-05-28T02:51:04Z,latest_commit:38e6e4e16b773360c1c86cadb9950cdd1f5faae7,committed_date:2017-05-28T02:49:08Z
/etc/vmware-tools,user:bryanwb,repo:vmware-tools,latest_release:n/a,latest_commit:87fa8afd8afd8446d0ca6a4249446eb102e31b86,committed_date:2012-11-13T08:19:51Z
/nis,user:samratashok,repo:nishang,latest_release:v0.6.7,released_date:2016-05-24T19:13:37Z,latest_commit:a1a1b29fc78e757a70f7b01353caf09f5ae6b728,committed_date:2017-05-26T11:43:28Z
/nis/opt/adobe_password_checker,user:cheetz,repo:adobe_password_checker,latest_release:n/a,latest_commit:b8079a73675efc9df6c3c2b72453b3c2bdea3d4d,committed_date:2015-05-05T03:36:16Z
/nis/opt/backdoorppt,user:r00t-3xp10it,repo:backdoorppt,latest_release:backdoorppt 'Office spoof extensions tool',released_date:2017-01-13T01:04:14Z,latest_commit:f64afc387b42a64e8739fce06cadb39a3df1873f,committed_date:2017-04-14T03:51:33Z
/nis/opt/beef,user:beefproject,repo:beef,latest_release:n/a,latest_commit:98c187fb38360707eb53ca12cc2bf9d97cd06841,committed_date:2017-06-01T02:24:12Z
/nis/opt/brutescrape,user:cheetz,repo:brutescrape,latest_release:n/a,latest_commit:c4594b9cd84a6d05e90b603918af3e708c4f92ea,committed_date:2015-02-17T01:48:05Z
/nis/opt/c2,user:lynaghk,repo:c2,latest_release:n/a,latest_commit:c6b51e47d70c18ee3063c083082c654e0db12b7c,committed_date:2016-03-02T19:11:21Z
/nis/opt/CMSmap,user:Dionach,repo:CMSmap,latest_release:n/a,latest_commit:37b64be9aacecfe103d400957123ce6cd9f1bd7f,committed_date:2015-04-01T16:40:46Z
/nis/opt/CrackMapExec,user:byt3bl33d3r,repo:CrackMapExec,latest_release:CrackMapExec v3.1.5,released_date:2016-12-29T08:16:04Z,latest_commit:c9eec77cf819a37346155d50d6fd1ce20c059523,committed_date:2017-05-22T04:37:01Z
/nis/opt/DC3-MWCP,user:Defense-Cyber-Crime-Center,repo:DC3-MWCP,latest_release:n/a,latest_commit:fe38f8eacc99dfce5b9fb4bf6fa0b63a697529dd,committed_date:2017-04-18T13:18:23Z
