path,github_user,github_repo,latest_release,latest_commit,comitted_date
/opt/discover/notes,user:SecureAdmin,repo:notes,latest_release:n/a,latest_commit:25d75011ca782f841fc9a02335181bc5368d62a5,committed_date:2017-01-04T12:40:58Z
/opt/discover/parsers,user:crsftw,repo:OSCP-cheat-sheet,latest_release:n/a,latest_commit:fa95c022b8eaeecee2145191798fb960221f3744,committed_date:2017-05-03T15:01:20Z
/opt/discover/parsers,user:leebaird,repo:discover,latest_release:n/a,latest_commit:fdb6c7618e7ab660511c084693acf7b0c6023227,committed_date:2017-05-18T14:22:24Z
/opt/discover/parsers,user:nikamajinkya,repo:DiscoveryPen,latest_release:n/a,latest_commit:7f08f7d6e2a7795d0573c36b5d6a1a452d518430,committed_date:2016-09-12T16:42:21Z
/opt/discover/parsers,user:SrGodrik,repo:tools,latest_release:n/a,latest_commit:a91d73a0b8c916e537980051e9746cca2ed69986,committed_date:2017-02-18T16:40:54Z
/opt/discover/parsers,user:SunitaKB,repo:uname,latest_release:n/a,latest_commit:c90e42226004caadb9f857267b8430a504e81262,committed_date:2016-06-04T02:49:43Z
/opt/EyeWitness/modules,user:bgxdoc,repo:eyewitnessclone,latest_release:n/a,latest_commit:37a764b8da8b2dc10f7b3e6bfbb59c8621a8dbfb,committed_date:2016-11-17T03:57:03Z
/opt/EyeWitness/modules,user:ChrisTruncer,repo:EyeWitness,latest_release:RDP Report uses relative paths,released_date:2016-12-17T18:45:58Z,latest_commit:b735e7056efa86b4d6c488554eaff451458da635,committed_date:2017-05-02T19:25:51Z
/opt/lmd/maldetect-1.6,user:rfxn,repo:linux-malware-detect,latest_release:1.6,released_date:2017-03-18T02:35:33Z,latest_commit:5213156426bbefc69c6781fe45616a42b00f9d1a,committed_date:2017-05-18T21:26:17Z
/opt/lmd/maldetect-1.6,user:s0ftcare,repo:linux-malware-detect,latest_release:n/a,latest_commit:95220f1ba92787cebaed4d6b90bceaabf5bede02,committed_date:2016-12-26T09:15:17Z
/opt/lmd/maldetect-1.6,user:waja,repo:maldetect,latest_release:debian/1.6-1: New release,released_date:2017-05-06T10:49:28Z,latest_commit:33b7336fd9457d6f1bdf5a631ed806c2cd6f3c8d,committed_date:2017-05-16T14:44:22Z
/opt/paramiko/build,user:AloneRoad,repo:Football-Info,latest_release:n/a,latest_commit:258d14f690d96594a9a32321b2f1f485a3f2652a,committed_date:2010-06-10T13:21:02Z
/opt/paramiko/build,user:aulavirtual,repo:explorador,latest_release:n/a,latest_commit:9a055fd916c3fdfc292a79c7af0a37ac182d4eff,committed_date:2012-10-16T14:15:17Z
/opt/paramiko/build,user:aulavirtual,repo:profesores,latest_release:n/a,latest_commit:da5b1cde925df0768d0f87ac965726446e3a8e4f,committed_date:2012-10-10T10:51:04Z
/opt/paramiko/build,user:fengbaoli,repo:python-sftp,latest_release:n/a,latest_commit:e4f6bade2c6a37660b8122be88df63a282549eee,committed_date:2016-04-26T09:20:58Z
/opt/paramiko/build,user:fengbaoli,repo:Sftp,latest_release:n/a,latest_commit:0d037add4a19e2f1b06403730c5e3688faddee1d,committed_date:2016-04-26T09:07:52Z
/opt/paramiko/build,user:reissmann,repo:PyTgen,latest_release:n/a,latest_commit:826fb16e820d3a762ee79694f706f94baddfc62b,committed_date:2012-12-17T10:17:00Z
/opt/paramiko/build,user:thatotherguy,repo:cryptsftp,latest_release:n/a,latest_commit:cc317ec9d5e2e2d0dd2f59707596c4e31ce509a3,committed_date:2013-08-10T05:09:29Z
/opt/postgresql/postgres-a2e35b53c39b2a27d3e332dc7c506539c306fd44,user:bogiebro,repo:read-only-postgres,latest_release:n/a,latest_commit:7e37be7acf9ae825268c3c44bd14f9d38f7e21a3,committed_date:2013-04-29T17:04:42Z
/opt/postgresql/postgres-a2e35b53c39b2a27d3e332dc7c506539c306fd44,user:dqxiao,repo:pgsql,latest_release:n/a,latest_commit:4591c586d39bff29d96387c925196e5d05588bb5,committed_date:2015-04-21T23:01:31Z
/opt/postgresql/postgres-a2e35b53c39b2a27d3e332dc7c506539c306fd44,user:nalub001,repo:lab3,latest_release:n/a,latest_commit:7de312329ec43918391c928141311c540306ec0c,committed_date:2012-11-11T20:59:45Z
/opt/postgresql/postgres-a2e35b53c39b2a27d3e332dc7c506539c306fd44,user:qowldi,repo:pg,latest_release:n/a,latest_commit:12c7579759beb63e2c5a7332063a5656075064b7,committed_date:2015-10-19T06:47:46Z
/opt/PyInstaller-2.1/old,user:cleverplugs,repo:pyinstaller,latest_release:n/a,latest_commit:3797922f7196b391b428f3af983a7919777bbb8e,committed_date:2011-12-12T14:01:33Z
/opt/PyInstaller-2.1/old,user:kennethreitz-archive,repo:pyinstaller,latest_release:n/a,latest_commit:2b8849313e76465108338bb8b92111c758723230,committed_date:2010-09-28T19:54:43Z
/opt/PyInstaller-2.1/old,user:ssorgatem,repo:pyinstaller-1.5.1-with-patches,latest_release:n/a,latest_commit:54347b37e3f00f5361ee02ab0cbe86f5920d1ef8,committed_date:2011-12-22T00:00:47Z
/opt/PyInstaller-2.1/utils,user:akhof,repo:PySaved,latest_release:n/a,latest_commit:19195e8d64b0e06f7f184a2c1ae5fd8429460402,committed_date:2015-11-23T13:21:48Z
/opt/PyInstaller-2.1/utils,user:guoliqiang,repo:coding,latest_release:n/a,latest_commit:fcdb4926a84bbd8eb156e72da53724dfc1754fa6,committed_date:2017-04-27T10:23:41Z
/opt/PyInstaller-2.1/utils,user:timeyyy,repo:PyUpdater,latest_release:n/a,latest_commit:5bb8694757a012538caed8f84233aa9c79dbf499,committed_date:2015-08-18T07:36:52Z
/opt/PyInstaller-2.1/utils,user:wantsomechocolate,repo:EnergyAnalysis,latest_release:n/a,latest_commit:5e0f4412168d67f1b96949849ae97791ff281229,committed_date:2014-01-29T01:16:43Z
/opt/pyinstaller/old,user:cleverplugs,repo:pyinstaller,latest_release:n/a,latest_commit:3797922f7196b391b428f3af983a7919777bbb8e,committed_date:2011-12-12T14:01:33Z
/opt/pyinstaller/old,user:kennethreitz-archive,repo:pyinstaller,latest_release:n/a,latest_commit:2b8849313e76465108338bb8b92111c758723230,committed_date:2010-09-28T19:54:43Z
/opt/pyinstaller/old,user:ssorgatem,repo:pyinstaller-1.5.1-with-patches,latest_release:n/a,latest_commit:54347b37e3f00f5361ee02ab0cbe86f5920d1ef8,committed_date:2011-12-22T00:00:47Z
/opt/rawr/lib,user:cohorte,repo:docgen,latest_release:n/a,latest_commit:18223e1547ee4a63283a424db870e84dc62157cb,committed_date:2014-11-18T22:59:21Z
/opt/rawr/lib,user:mohansn,repo:dabblinginanalytics,latest_release:n/a,latest_commit:89589d4545c485ec969e77bea9793443667484a1,committed_date:2015-05-07T08:52:25Z
/opt/Responder/tools,user:benaridan,repo:pentesting,latest_release:n/a,latest_commit:9cb154f155de0b453d3b1a09b18cc9974a067809,committed_date:2017-03-28T09:22:46Z
/opt/Responder/tools,user:brandonprry,repo:Potato,latest_release:n/a,latest_commit:6a60715be335acb778f54339d88d240342432429,committed_date:2016-01-17T15:02:39Z
/opt/Responder/tools,user:Exploit-install,repo:Responder,latest_release:n/a,latest_commit:0d441d1899053fde6792288fc83be0c883df19f0,committed_date:2017-01-03T20:40:38Z
/opt/Responder/tools,user:foxglovesec,repo:Potato,latest_release:n/a,latest_commit:20765f5ed0eb1501c32f528152c83e088d98a4cb,committed_date:2016-02-12T19:33:21Z
/opt/Responder/tools,user:hanshaze,repo:BashBunny,latest_release:n/a,latest_commit:46e65e5effaab0c2f81f32e8837df0be8a633e95,committed_date:2017-03-23T02:17:35Z
/opt/Responder/tools,user:hanshaze,repo:bash_bunny_payloads,latest_release:n/a,latest_commit:46e65e5effaab0c2f81f32e8837df0be8a633e95,committed_date:2017-03-23T02:17:35Z
