package_name,installed_version,architecture,latest_version
libapparmor1,2.10.95-4,amd64,2.11.0-2
libappstream-glib8,0.6.1-1.1,amd64,0.6.8-1
libapr1,1.5.2-4,amd64,1.5.2-5
libaprutil1,1.5.4-2,amd64,1.5.4-3
libaprutil1-dbd-sqlite3,1.5.4-2,amd64,1.5.4-3
libaprutil1-ldap,1.5.4-2,amd64,1.5.4-3
libapt-inst2.0,1.3~rc2,amd64,1.4~rc1
libapt-pkg5.0,1.3~rc2,amd64,1.4~rc1
libarchive-extract-perl,0.78-1,all,0.80-1
libarchive13,3.2.1-2,amd64,3.2.1-6
libasan2,5.4.1-1,amd64,5.4.1-4
libasan3,6.1.1-11,amd64,6.3.0-6
libasn1-8-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libasound2,1.1.2-1,amd64,1.1.3-4
libasound2-data,1.1.2-1,all,1.1.3-4
libasprintf-dev,0.19.8.1-1,amd64,0.19.8.1-2
libasprintf0v5,0.19.8.1-1,amd64,0.19.8.1-2
libass5,0.13.2-1,amd64,1:0.13.4-2
libassuan0,2.4.3-1,amd64,2.4.3-2
libatk-adaptor,2.20.1-4,amd64,2.22.0-1
libatk-bridge2.0-0,2.20.1-4,amd64,2.22.0-1
libatk-wrapper-java,0.33.3-9,all,0.33.3-13
libatk-wrapper-java-jni,0.33.3-9,amd64,0.33.3-13
libatk1.0-0,2.20.0-1,amd64,2.22.0-1
libatk1.0-data,2.20.0-1,all,2.22.0-1
libatk1.0-dev,2.20.0-1,amd64,2.22.0-1
libatkmm-1.6-1v5,2.24.2-1,amd64,2.24.2-2
libatomic1,6.1.1-11,amd64,6.3.0-6
libatspi2.0-0,2.20.2-1,amd64,2.22.0-5
libaudit-common,1:2.6.6-1,all,1:2.6.7-1
libaudit1,1:2.6.6-1,amd64,1:2.6.7-1
libavahi-client3,0.6.32-1,amd64,0.6.32-2
libavahi-common-data,0.6.32-1,amd64,0.6.32-2
libavahi-common3,0.6.32-1,amd64,0.6.32-2
libavahi-core7,0.6.32-1,amd64,0.6.32-2
libavahi-glib1,0.6.32-1,amd64,0.6.32-2
libavahi-gobject0,0.6.32-1,amd64,0.6.32-2
libavcodec57,7:3.1.2-1,amd64,7:3.2.4-1
libavfilter6,7:3.1.2-1,amd64,7:3.2.4-1
libavformat57,7:3.1.2-1,amd64,7:3.2.4-1
libavresample3,7:3.1.2-1,amd64,7:3.2.4-1
libavutil55,7:3.1.2-1,amd64,7:3.2.4-1
libbabeltrace-ctf1,1.4.0-3,amd64,1.5.1-1
libbabeltrace1,1.4.0-3,amd64,1.5.1-1
libbasicusageenvironment1,2016.08.07-1,amd64,2016.11.28-1
libbdplus0,0.1.2-1,amd64,0.1.2-2
libbind9-140,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
libblas-common,3.6.1-2,amd64,3.7.0-1
libblas3,3.6.1-2,amd64,3.7.0-1
libblkid1,2.28.1-1,amd64,2.29.1-1
libbluetooth-dev,5.36-1+b2,amd64,5.43-1
libbluetooth3,5.36-1+b2,amd64,5.43-1
libbluray1,1:0.9.3-2,amd64,1:0.9.3-3
libbonoboui2-0,2.24.5-3,amd64,2.24.5-4
libbonoboui2-common,2.24.5-3,all,2.24.5-4
libbrlapi0.6,5.3.1-3+b1,amd64,5.4-6
libbz2-1.0,1.0.6-8,amd64,1.0.6-8.1
libc-ares2,1.11.0-1,amd64,1.12.0-1
libc-bin,2.24-8,amd64,2.24-9
libc-dev-bin,2.24-8,amd64,2.24-9
libc-l10n,2.24-8,all,2.24-9
libc6,2.24-8,amd64,2.24-9
libc6-dbg,2.24-8,amd64,2.24-9
libc6-dev,2.24-8,amd64,2.24-9
libc6-dev-i386,2.24-8,amd64,2.24-9
libc6-dev-x32,2.24-8,amd64,2.24-9
libc6-i386,2.24-8,amd64,2.24-9
libc6-i686,2.23-5,i386,2.24-9
libc6-x32,2.24-8,amd64,2.24-9
libcairo-gobject2,1.14.6-1+b1,amd64,1.14.8-1
libcairo-script-interpreter2,1.14.6-1+b1,amd64,1.14.8-1
libcairo2,1.14.6-1+b1,amd64,1.14.8-1
libcairo2-dev,1.14.6-1+b1,amd64,1.14.8-1
libcapstone3,3.0.4-0.2,amd64,3.0.4-1
libcc1-0,6.1.1-11,amd64,6.3.0-6
libccid,1.4.24-1,amd64,1.4.26-1
libcdio-cdda1,0.83-4.2+b1,amd64,0.83-4.3
libcdio-paranoia1,0.83-4.2+b1,amd64,0.83-4.3
libcdio13,0.83-4.2+b1,amd64,0.83-4.3
libcdt5,2.38.0-14,amd64,2.38.0-16
libcgi-fast-perl,1:2.10-1,all,1:2.12-1
libcgi-pm-perl,4.32-1,all,4.35-1
libcgraph6,2.38.0-14,amd64,2.38.0-16
libchamplain-0.12-0,0.12.13-1,amd64,0.12.14-1
libchamplain-gtk-0.12-0,0.12.13-1,amd64,0.12.14-1
libcheese-gtk25,3.20.2-2,amd64,3.22.1-1
libcheese8,3.20.2-2,amd64,3.22.1-1
libcilkrts5,6.1.1-11,amd64,6.3.0-6
libclang-common-3.8-dev,1:3.8.1-9,amd64,1:3.8.1-17
libclass-c3-perl,0.31-1,all,0.32-1
libclass-tiny-perl,1.004-1,all,1.006-1
libclc-amdgcn,0.2.0+git20150813-3,all,0.2.0+git20160907-3
libclc-dev,0.2.0+git20150813-3,all,0.2.0+git20160907-3
libclc-r600,0.2.0+git20150813-3,all,0.2.0+git20160907-3
libclutter-1.0-0,1.26.0-2,amd64,1.26.0+dfsg-2
libclutter-1.0-common,1.26.0-2,all,1.26.0+dfsg-2
libclutter-gst-3.0-0,3.0.18-1,amd64,3.0.22-1
libclutter-gtk-1.0-0,1.8.0-1,amd64,1.8.2-1
libcogl-common,1.22.0-2,all,1.22.2-2
libcogl-pango20,1.22.0-2,amd64,1.22.2-2
libcogl-path20,1.22.0-2,amd64,1.22.2-2
libcogl20,1.22.0-2,amd64,1.22.2-2
libcolord-gtk1,0.1.26-1,amd64,0.1.26-1.1
libcolord2,1.3.2-1,amd64,1.3.3-2
libcolorhug2,1.3.2-1,amd64,1.3.3-2
libcomedi0,0.10.2-4+b2,amd64,0.10.2-4+b3
libcomerr2,1.43.1-1,amd64,1.43.4-2
libcommons-lang3-java,3.4-2,all,3.5-1
libconfig9,1.5-0.2,amd64,1.5-0.3
libcpan-meta-perl,2.150005-1,all,2.150010-1
libcroco3,0.6.11-1,amd64,0.6.11-2
libcrypto++6,5.6.3-7,amd64,5.6.4-6
libcryptsetup4,2:1.7.0-2kali1,amd64,2:1.7.3-3kali1
libct4,0.91-6.1+b2,amd64,0.91-6.1+b3
libcups2,2.1.4-4,amd64,2.2.1-8
libcupsfilters1,1.10.0-1,amd64,1.11.6-3
libcupsimage2,2.1.4-4,amd64,2.2.1-8
libcurl3,7.50.1-1,amd64,7.52.1-2
libcurl3-gnutls,7.50.1-1,amd64,7.52.1-2
libcurl4-openssl-dev,7.50.1-1,amd64,7.52.1-2
libdate-manip-perl,6.54-1,all,6.57-1
libdatrie1,0.2.10-2,amd64,0.2.10-4
libdb5.3,5.3.28-12,amd64,5.3.28-12+b1
libdbus-1-3,1.10.10-1,amd64,1.10.14-1
libdbus-1-dev,1.10.10-1,amd64,1.10.14-1
libdbus-glib-1-2,0.106-1,amd64,0.108-2
libdc1394-22,2.2.4-1,amd64,2.2.5-1
libdconf1,0.26.0-1,amd64,0.26.0-2
libdebconfclient0,0.215,amd64,0.220
libdevel-globaldestruction-perl,0.13-1,all,0.14-1
libdevel-stacktrace-perl,2.0100-1,all,2.0200-1
libdevmapper-event1.02.1,2:1.02.133-1,amd64,2:1.02.137-1
libdevmapper1.02.1,2:1.02.133-1,amd64,2:1.02.137-1
libdirectfb-1.2-9,1.2.10.0-5.2+b1,amd64,1.2.10.0-8
libdistorm3-3,3.3.4-1,amd64,3.3.4-2
libdjvulibre-text,3.5.27.1-6,all,3.5.27.1-7
libdjvulibre21,3.5.27.1-6,amd64,3.5.27.1-7
libdmapsharing-3.0-2,2.9.36-1,amd64,2.9.37-1
libdns-export162,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
libdns162,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
libdouble-conversion1,2.0.1-3,amd64,2.0.1-4
libdpkg-perl,1.18.10kali1,all,1.18.22kali1
libdrm-amdgpu1,2.4.70-1,amd64,2.4.74-1
libdrm-dev,2.4.70-1,amd64,2.4.74-1
libdrm-intel1,2.4.70-1,amd64,2.4.74-1
libdrm-nouveau2,2.4.70-1,amd64,2.4.74-1
libdrm-radeon1,2.4.70-1,amd64,2.4.74-1
libdrm2,2.4.70-1,amd64,2.4.74-1
libdvbpsi10,1.3.0-4,amd64,1.3.0-5
libdvdnav4,5.0.3-1,amd64,5.0.3-3
libdvdread4,5.0.3-1,amd64,5.0.3-2
libdw1,0.166-2,amd64,0.168-0.2
libebackend-1.2-10,3.20.5-1,amd64,3.22.4-1
libebook-1.2-16,3.20.5-1,amd64,3.22.4-1
libebook-contacts-1.2-2,3.20.5-1,amd64,3.22.4-1
libebur128-1,1.1.0-1,amd64,1.2.0-1
libecal-1.2-19,3.20.5-1,amd64,3.22.4-1
libedata-book-1.2-25,3.20.5-1,amd64,3.22.4-1
libedata-cal-1.2-28,3.20.5-1,amd64,3.22.4-1
libedataserverui-1.2-1,3.20.5-1,amd64,3.22.4-1
libedit2,3.1-20150325-1+b1,amd64,3.1-20160903-3
libegl1-mesa,11.2.2-1,amd64,13.0.4-1
libegl1-mesa-drivers,11.2.2-1,amd64,13.0.4-1
libelf1,0.166-2,amd64,0.168-0.2
libenca0,1.18-1,amd64,1.19-1
libepoxy0,1.3.1-1,amd64,1.3.1-2
libespeak1,1.48.04+dfsg-3,amd64,1.48.04+dfsg-5
libevdev2,1.5.4+dfsg-1,amd64,1.5.6+dfsg-1
libevdocument3-4,3.20.1-1,amd64,3.22.1-3
libevent-2.0-5,2.0.21-stable-2+b1,amd64,2.0.21-stable-2.1
libevent-core-2.0-5,2.0.21-stable-2+b1,amd64,2.0.21-stable-2.1
libevent-openssl-2.0-5,2.0.21-stable-2+b1,amd64,2.0.21-stable-2.1
libevent-pthreads-2.0-5,2.0.21-stable-2+b1,amd64,2.0.21-stable-2.1
libevview3-3,3.20.1-1,amd64,3.22.1-3
libewf2,20140608-6+b1,amd64,20140608-6+b2
libexempi3,2.3.0-2,amd64,2.4.1-1
libexpat1,2.2.0-1,amd64,2.2.0-2
libexpat1-dev,2.2.0-1,amd64,2.2.0-2
libfaad2,2.8.0~cvs20150510-1,amd64,2.8.0~cvs20161113-1
libfakeroot,1.21-1,amd64,1.21-3.1
libfarstream-0.2-5,0.2.8-1,amd64,0.2.8-2
libfbclient2,2.5.6.27020.ds4-1+b1,amd64,3.0.1.32609.ds4-13
libfdisk1,2.28.1-1,amd64,2.29.1-1
libffi-dev,3.2.1-4,amd64,3.2.1-6
libffi6,3.2.1-4,amd64,3.2.1-6
libfftw3-double3,3.3.4-2+b1,amd64,3.3.5-3
libfftw3-single3,3.3.4-2+b1,amd64,3.3.5-3
libfile-slurp-perl,9999.19-5,all,9999.19-6
libfile-stripnondeterminism-perl,0.023-2,all,0.029-2
libfl-dev,2.6.1-1,amd64,2.6.1-1.3
libflac8,1.3.1-4,amd64,1.3.2-1
libflite1,2.0.0-release-1+b1,amd64,2.0.0-release-3
libfluidsynth1,1.1.6-3,amd64,1.1.6-4
libfolks-eds25,0.11.2-1,amd64,0.11.3-1
libfolks-telepathy25,0.11.2-1,amd64,0.11.3-1
libfolks25,0.11.2-1,amd64,0.11.3-1
libfont-afm-perl,1.20-1,all,1.20-2
libfreefare-bin,0.4.0-2+b1,amd64,0.4.0-2+b2
libfreefare0,0.4.0-2+b1,amd64,0.4.0-2+b2
libfreerdp-cache1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-client1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-codec1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-common1.1.0,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-core1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-crypto1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-gdi1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-locale1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-primitives1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-rail1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfreerdp-utils1.1,1.1.0~git20140921.1.440916e+dfsg1-10,amd64,1.1.0~git20140921.1.440916e+dfsg1-13
libfwupd1,0.7.2-1,amd64,0.7.4-2
libgadu3,1:1.12.1-2+b1,amd64,1:1.12.1-4
libgail-3-0,3.20.9-1,amd64,3.22.7-2
libgail-common,2.24.30-4,amd64,2.24.31-2
libgail18,2.24.30-4,amd64,2.24.31-2
libgbm1,11.2.2-1,amd64,13.0.4-1
libgcab-1.0-0,0.7-1,amd64,0.7-2
libgcc-5-dev,5.4.1-1,amd64,5.4.1-4
libgcc-6-dev,6.1.1-11,amd64,6.3.0-6
libgcc1,1:6.1.1-11,amd64,1:6.3.0-6
libgck-1-0,3.20.0-2,amd64,3.20.0-5
libgconf-2-4,3.2.6-3,amd64,3.2.6-4
libgconf2-4,3.2.6-3,amd64,3.2.6-4
libgcr-3-common,3.20.0-2,all,3.20.0-5
libgcr-base-3-1,3.20.0-2,amd64,3.20.0-5
libgcr-ui-3-1,3.20.0-2,amd64,3.20.0-5
libgcrypt20,1.7.3-1,amd64,1.7.6-1
libgd3,2.2.3-3+b1,amd64,2.2.4-2
libgdata-common,0.17.5-1,all,0.17.6-2
libgdata22,0.17.5-1,amd64,0.17.6-2
libgdict-1.0-10,3.20.0-2,amd64,3.20.0-3
libgdict-common,3.20.0-2,all,3.20.0-3
libgdk-pixbuf2.0-0,2.34.0-1,amd64,2.36.4-1
libgdk-pixbuf2.0-common,2.34.0-1,all,2.36.4-1
libgdk-pixbuf2.0-dev,2.34.0-1,amd64,2.36.4-1
libgdm1,3.20.1-1,amd64,3.22.1-2
libgee-0.8-2,0.18.0-2,amd64,0.18.1-1
libgeoclue-2-0,2.4.3-1,amd64,2.4.5-1
libgeocode-glib0,3.20.1-1,amd64,3.20.1-2
libgeoip1,1.6.9-2,amd64,1.6.9-4
libgettextpo-dev,0.19.8.1-1,amd64,0.19.8.1-2
libgettextpo0,0.19.8.1-1,amd64,0.19.8.1-2
libgfortran3,6.1.1-11,amd64,6.3.0-6
libgif7,5.1.4-0.3,amd64,5.1.4-0.4
libgirepository-1.0-1,1.48.0-3,amd64,1.50.0-1
libgjs0e,1.45.4-1,amd64,1.46.0-1+b1
libgksu2-0,2.0.13~pre1-8+b1,amd64,2.0.13~pre1-9
libgl1-mesa-dev,11.2.2-1,amd64,13.0.4-1
libgl1-mesa-dri,11.2.2-1,amd64,13.0.4-1
libgl1-mesa-glx,11.2.2-1,amd64,13.0.4-1
libglade2.0-cil,2.12.10-6,amd64,2.12.40-1
libglade2.0-cil-dev,2.12.10-6,amd64,2.12.40-1
libglapi-mesa,11.2.2-1,amd64,13.0.4-1
libgles1-mesa,11.2.2-1,amd64,13.0.4-1
libgles2-mesa,11.2.2-1,amd64,13.0.4-1
libglib2.0-0,2.48.1-3,amd64,2.50.2-2
libglib2.0-bin,2.48.1-3,amd64,2.50.2-2
libglib2.0-cil,2.12.10-6,amd64,2.12.40-1
libglib2.0-cil-dev,2.12.10-6,amd64,2.12.40-1
libglib2.0-data,2.48.1-3,all,2.50.2-2
libglib2.0-dev,2.48.1-3,amd64,2.50.2-2
libglibmm-2.4-1v5,2.48.1-1,amd64,2.50.0-1
libgme0,0.6.0-3,amd64,0.6.0-4
libgmime-2.6-0,2.6.20-8,amd64,2.6.22-2
libgmp-dev,2:6.1.1+dfsg-1,amd64,2:6.1.2+dfsg-1
libgmp10,2:6.1.1+dfsg-1,amd64,2:6.1.2+dfsg-1
libgmpxx4ldbl,2:6.1.1+dfsg-1,amd64,2:6.1.2+dfsg-1
libgnome-desktop-3-12,3.20.2-1,amd64,3.22.2-1
libgnomecanvas2-0,2.30.3-2,amd64,2.30.3-3
libgnomecanvas2-common,2.30.3-2,all,2.30.3-3
libgnomekbd-common,3.6.0-1,all,3.22.0.1-1
libgnomekbd8,3.6.0-1,amd64,3.22.0.1-1
libgnuradio-analog3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-atsc3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-audio3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-baz,0.1~git20140808-0kali1+b4,amd64,0.1+git20160908-0kali1+b1
libgnuradio-blocks3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-channels3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-comedi3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-digital3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-dtv3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-fcd3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-fcdproplus3.7.10,3.7.25.4b6464b-2+b1,amd64,3.7.25.4b6464b-2+b2
libgnuradio-fec3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-fft3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-filter3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-iqbalance3.7.10,0.37.2-7+b1,amd64,0.37.2-7+b2
libgnuradio-noaa3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-osmosdr0.1.4,0.1.4-11,amd64,0.1.4-12+b1
libgnuradio-pager3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-pmt3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-qtgui3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-runtime3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-trellis3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-uhd3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-video-sdl3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-vocoder3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-wavelet3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-wxgui3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnuradio-zeromq3.7.10,3.7.10.1-1,amd64,3.7.10.1-2+b1
libgnustep-base1.24,1.24.9-3,amd64,1.24.9-3.1
libgnutls-openssl27,3.5.3-3,amd64,3.5.8-3
libgnutls30,3.5.3-3,amd64,3.5.8-3
libgoa-1.0-0b,3.20.3-1,amd64,3.22.4-1
libgoa-1.0-common,3.20.3-1,all,3.22.4-1
libgoa-backend-1.0-1,3.20.3-1,amd64,3.22.4-1
libgom-1.0-0,0.3.2-1,amd64,0.3.2-2
libgom-1.0-common,0.3.2-1,all,0.3.2-2
libgomp1,6.1.1-11,amd64,6.3.0-6
libgpg-error0,1.24-1,amd64,1.26-2
libgpgme11,1.6.0-3,amd64,1.8.0-3
libgphoto2-6,2.5.10-3,amd64,2.5.12-1
libgphoto2-l10n,2.5.10-3,all,2.5.12-1
libgphoto2-port12,2.5.10-3,amd64,2.5.12-1
libgraphite2-3,1.3.8-1,amd64,1.3.9-3
libgraphite2-dev,1.3.8-1,amd64,1.3.9-3
libgrilo-0.3-0,0.3.1-1,amd64,0.3.2-2
libgroupsock8,2016.08.07-1,amd64,2016.11.28-1
libgs9,9.19~dfsg-2,amd64,9.20~dfsg-2
libgs9-common,9.19~dfsg-2,all,9.20~dfsg-2
libgsf-1-114,1.14.40-1,amd64,1.14.41-1
libgsf-1-common,1.14.40-1,all,1.14.41-1
libgsl2,2.1+dfsg-2,amd64,2.3+dfsg-1
libgspell-1-1,1.0.3-1,amd64,1.2.2-1
libgssapi-krb5-2,1.14.3+dfsg-1,amd64,1.15-1
libgssapi3-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libgssdp-1.0-3,0.14.16-1,amd64,1.0.1-1
libgssrpc4,1.14.3+dfsg-1,amd64,1.15-1
libgstreamer-plugins-bad1.0-0,1.8.2-1+b2,amd64,1.10.3-1
libgstreamer-plugins-base1.0-0,1.8.3-1,amd64,1.10.3-1
libgstreamer1.0-0,1.8.3-1,amd64,1.10.3-1
libgtk-3-0,3.20.9-1,amd64,3.22.7-2
libgtk-3-bin,3.20.9-1,amd64,3.22.7-2
libgtk-3-common,3.20.9-1,all,3.22.7-2
libgtk2.0-0,2.24.30-4,amd64,2.24.31-2
libgtk2.0-bin,2.24.30-4,amd64,2.24.31-2
libgtk2.0-cil,2.12.10-6,amd64,2.12.40-1
libgtk2.0-cil-dev,2.12.10-6,amd64,2.12.40-1
libgtk2.0-common,2.24.30-4,all,2.24.31-2
libgtk2.0-dev,2.24.30-4,amd64,2.24.31-2
libgtkmm-2.4-1v5,1:2.24.4-2+b1,amd64,1:2.24.5-1
libgtkmm-3.0-1v5,3.20.1-1,amd64,3.22.0-1
libgtksourceview-3.0-1,3.20.4-1,amd64,3.22.2-1
libgtksourceview-3.0-common,3.20.4-1,all,3.22.2-1
libgtksourceview2.0-0,2.10.5-2,amd64,2.10.5-3
libgtksourceview2.0-common,2.10.5-2,all,2.10.5-3
libgtkspell3-3-0,3.0.8-1,amd64,3.0.9-1
libgtop-2.0-10,2.34.0-1,amd64,2.34.2-1
libgtop2-common,2.34.0-1,all,2.34.2-1
libgts-0.7-5,0.7.6+darcs121130-1.2,amd64,0.7.6+darcs121130-4
libgts-bin,0.7.6+darcs121130-1.2,amd64,0.7.6+darcs121130-4
libgucharmap-2-90-7,1:9.0.0-1,amd64,1:9.0.2-1
libgupnp-1.0-4,0.20.18-1,amd64,1.0.1-1
libgupnp-av-1.0-2,0.12.8-2,amd64,0.12.10-1
libgupnp-dlna-2.0-3,0.10.5-1,amd64,0.10.5-3
libgvc6,2.38.0-14,amd64,2.38.0-16
libgvpr2,2.38.0-14,amd64,2.38.0-16
libgweather-3-6,3.20.2-1,amd64,3.20.4-1
libgweather-common,3.20.2-1,all,3.20.4-1
libhackrf0,2015.07.2-10,amd64,2015.07.2-11
libharfbuzz-dev,1.2.7-1+b1,amd64,1.4.2-1
libharfbuzz-gobject0,1.2.7-1+b1,amd64,1.4.2-1
libharfbuzz-icu0,1.2.7-1+b1,amd64,1.4.2-1
libharfbuzz0b,1.2.7-1+b1,amd64,1.4.2-1
libhcrypto4-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libhdb9-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libheimbase1-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libheimntlm0-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libhivex-bin,1.3.13-2,amd64,1.3.13-2+b2
libhivex0,1.3.13-2,amd64,1.3.13-2+b2
libhogweed4,3.2-1,amd64,3.3-1
libhtml-format-perl,2.11-2,all,2.12-1
libhtml-tagset-perl,3.20-2,all,3.20-3
libhttp-dav-perl,0.44-1,all,0.48-1
libhunspell-1.4-0,1.4.1-2,amd64,1.4.1-2+b1
libhx509-5-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libhyphen0,2.8.8-3,amd64,2.8.8-5
libibus-1.0-5,1.5.11-1,amd64,1.5.14-2
libicu-dev,57.1-3,amd64,57.1-5
libicu57,57.1-3,amd64,57.1-5
libieee1284-3,0.2.11-12,amd64,0.2.11-13
libilmbase12,2.2.0-11,amd64,2.2.0-12
libimobiledevice6,1.2.0+dfsg-3,amd64,1.2.0+dfsg-3.1
libinput-bin,1.4.1-1,amd64,1.6.0-1
libinput10,1.4.1-1,amd64,1.6.0-1
libio-socket-socks-perl,0.67-1,all,0.73-1
libio-socket-ssl-perl,2.037-1,all,2.044-1
libip4tc0,1.6.0-3,amd64,1.6.0+snapshot20161117-5
libip6tc0,1.6.0-3,amd64,1.6.0+snapshot20161117-5
libiptc0,1.6.0-3,amd64,1.6.0+snapshot20161117-5
libiptcdata0,1.0.4-4,amd64,1.0.4-6
libisc-export160,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
libisc160,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
libisccc140,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
libisccfg140,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
libisl15,0.17.1-1,amd64,0.18-1
libiso9660-8,0.83-4.2+b1,amd64,0.83-4.3
libitm1,6.1.1-11,amd64,6.3.0-6
libiw30,30~pre9-11,amd64,30~pre9-12
libjack-jackd2-0,1.9.10+20150825git1ed50c92~dfsg-2,amd64,1.9.10+20150825git1ed50c92~dfsg-4+b1
libjansson4,2.7-5,amd64,2.9-1
libjavascriptcoregtk-1.0-0,2.4.11-2+b2,amd64,2.4.11-3
libjavascriptcoregtk-1.0-dev,2.4.11-2+b2,amd64,2.4.11-3
libjavascriptcoregtk-3.0-0,2.4.11-2+b2,amd64,2.4.11-3
libjavascriptcoregtk-4.0-18,2.12.4-2,amd64,2.14.3-1
libjbig2dec0,0.13-3,amd64,0.13-4
libjemalloc1,3.6.0-9,amd64,3.6.0-9.1
libjna-java,4.2.2-1,all,4.2.2-2
libjna-jni,4.2.2-1,amd64,4.2.2-2
libjpeg-dev,1:1.5.0-1,all,1:1.5.1-2
libjpeg-turbo-progs,1:1.5.0-1,amd64,1:1.5.1-2
libjpeg62-turbo,1:1.5.0-1,amd64,1:1.5.1-2
libjpeg62-turbo-dev,1:1.5.0-1,amd64,1:1.5.1-2
libjs-jquery,1.12.4-1,all,3.1.1-2
libjs-jquery-ui,1.10.1+dfsg-1,all,1.12.1+dfsg-4
libjs-sphinxdoc,1.4.5-1,all,1.4.9-2
libjs-uglify,2.4.15-6,all,2.7.5-1
libjs-underscore,1.7.0~dfsg-1,all,1.8.3~dfsg-1
libjson-c3,0.12-3,amd64,0.12.1-1.1
libjsr305-java,0.1~+svn49-9,all,0.1~+svn49-10
libk5crypto3,1.14.3+dfsg-1,amd64,1.15-1
libkdb5-8,1.14.3+dfsg-1,amd64,1.15-1
libkdc2-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libkmod2,22-1.1,amd64,23-2
libkpathsea6,2016.20160513.41080-6,amd64,2016.20160513.41080.dfsg-1
libkrb5-26-heimdal,1.7~git20150920+dfsg-4,amd64,7.1.0+dfsg-9
libkrb5-3,1.14.3+dfsg-1,amd64,1.15-1
libkrb5support0,1.14.3+dfsg-1,amd64,1.15-1
