file_path,MD5sum,Build-ID,Size(bytes),ModifiedTime,ModifiedTime(HumanReadable)
/usr/lib/i386-linux-gnu/dri/r300_dri.so,658fe9298f9eee341a2b539c7f65620b,5b00f953220f52a9d374961ae9a35db135cfdde6,10746304,1485959770,2017-02-01 15:36:10.000000000 +0100
/usr/lib/i386-linux-gnu/dri/r600_dri.so,658fe9298f9eee341a2b539c7f65620b,5b00f953220f52a9d374961ae9a35db135cfdde6,10746304,1485959770,2017-02-01 15:36:10.000000000 +0100
/usr/lib/i386-linux-gnu/dri/radeon_dri.so,d0513776f690785cb7769c985ba8eed0,4f4ad031d4f2b253a8685cd5a723a2b3bce0ae6b,7793560,1485959770,2017-02-01 15:36:10.000000000 +0100
/usr/lib/i386-linux-gnu/dri/radeonsi_dri.so,658fe9298f9eee341a2b539c7f65620b,5b00f953220f52a9d374961ae9a35db135cfdde6,10746304,1485959770,2017-02-01 15:36:10.000000000 +0100
/usr/lib/i386-linux-gnu/dri/swrast_dri.so,658fe9298f9eee341a2b539c7f65620b,5b00f953220f52a9d374961ae9a35db135cfdde6,10746304,1485959770,2017-02-01 15:36:10.000000000 +0100
/usr/lib/i386-linux-gnu/dri/vdpau_drv_video.so,e8bc0f16ca1cefbbcb04ab3cd604639d,55ed0f4e5bd476b7987560e54d5edd7b5767ae70,108448,1462992773,2016-05-11 20:52:53.000000000 +0200
/usr/lib/i386-linux-gnu/dri/virtio_gpu_dri.so,658fe9298f9eee341a2b539c7f65620b,5b00f953220f52a9d374961ae9a35db135cfdde6,10746304,1485959770,2017-02-01 15:36:10.000000000 +0100
/usr/lib/i386-linux-gnu/dri/vmwgfx_dri.so,658fe9298f9eee341a2b539c7f65620b,5b00f953220f52a9d374961ae9a35db135cfdde6,10746304,1485959770,2017-02-01 15:36:10.000000000 +0100
/usr/lib/i386-linux-gnu/engines-1.1/capi.so,e5b25d25bcb263aef1edde905c1506c9,da49524aefe1c8b32ba9263945ee75b3587579d8,5384,1487267878,2017-02-16 18:57:58.000000000 +0100
/usr/lib/i386-linux-gnu/engines-1.1/padlock.so,3b456e6530dbe174c07101e36fe9f538,754786d28723793d1f6cd23fb785c993e2d2e31d,22056,1487267878,2017-02-16 18:57:58.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/ANSI_X3.110.so,f92eb3e3b0806ca73fe8ee2289e37e07,bec5e339bd053ab40bd21839824f35058d0c2581,21968,1484588617,2017-01-16 18:43:37.000000000 +0100
